AYUNTAMIENTOS
02/07/2018 20:00 (UTC-5)
ACTAS_ESPERADAS,ACTAS_REGISTRADAS,ACTAS_FUERA_CATALOGO,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_INCONSISTENCIAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,TOTAL_VOTOS_C_CS,TOTAL_VOTOS_S_CS,PORCENTAJE_PARTICIPACION_CIUDADANA
7547,7392,0,7392,97.9462,6115,81.0255,4.0413,1276,3634952,2466358,2465153,67.8180

CLAVE_CASILLA,CLAVE_ACTA,ID_ESTADO,ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCION,ID_CASILLA,TIPO_CASILLA,EXT_CONTIGUA,UBICACION_CASILLA,TIPO_ACTA,TOTAL_BOLETAS_SOBRANTES,TOTAL_PERSONAS_VOTARON,TOTAL_REP_PARTIDO_CI_VOTARON,TOTAL_VOTOS_SACADOS,PAN,PRI,PRD,PT,PV,MC,NA,CPP,PSI,MORENA,PES,C_PT_MORENA_PES,C_PT_MORENA,C_PT_PES,C_MORENA_PES,C_PRI_NA,C_PAN_PRD_MC_CPP_PSI,C_PAN_PRD_MC_CPP,C_PAN_PRD_MC_PSI,C_PAN_PRD_CPP_PSI,C_PAN_MC_CPP_PSI,C_PRD_MC_CPP_PSI,C_PAN_PRD_MC,C_PAN_PRD_CPP,C_PAN_PRD_PSI,C_PAN_MC_CPP,C_PAN_MC_PSI,C_PAN_CPP_PSI,C_PRD_MC_CPP,C_PRD_MC_PSI,C_PRD_CPP_PSI,C_MC_CPP_PSI,C_PAN_PRD,C_PAN_MC,C_PAN_CPP,C_PAN_PSI,C_PRD_MC,C_PRD_CPP,C_PRD_PSI,C_MC_CPP,C_MC_PSI,C_CPP_PSI,C_NA_CPP,C_PV_CPP_PSI,C_PV_CPP,C_PV_PSI,CAND_IND_1,CAND_IND_2,NO_REGISTRADOS,NULOS,TOTAL_VOTOS_ASENTADO,TOTAL_VOTOS_CALCULADO,LISTA_NOMINAL,REPRESENTANTES_PP_CI,OBSERVACIONES,CONTABILIZADA,MECANISMOS_TRASLADO,SHA,FECHA_HORA_ACOPIO,FECHA_HORA_CAPTURA,FECHA_HORA_VERIFICACION,ORIGEN,DIGITALIZACION,TIPO_DOCUMENTO
'210009C0100,210009C010002,21,PUEBLA,001,ACAJETE,0009,01,C,00,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,607,,Sin Acta,0,,,,,,,,
'210009C0200,210009C020002,21,PUEBLA,001,ACAJETE,0009,02,C,00,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,607,,Sin Acta,0,,,,,,,,
'210009C0300,210009C030002,21,PUEBLA,001,ACAJETE,0009,03,C,00,2,2,265,360,6,363,32,13,0,0,4,63,2,10,4,207,0,0,0,0,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,28,366,363,606,6,,1,F,adf7ef35dcbb52074a29ed6b9a49e4f88f52ee5131af4ac6811cef38fc5bda46,2018-07-02 06:48:00,2018-07-02 06:53:37,2018-07-02 06:53:59,CATD,Escaner,ACTA PREP
'210010B0100,210010B010002,21,PUEBLA,001,ACAJETE,0010,01,B,00,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,618,,Sin Acta,0,,,,,,,,
'210010C0100,210010C010002,21,PUEBLA,001,ACAJETE,0010,01,C,00,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,618,,Sin Acta,0,,,,,,,,
'210010C0200,210010C020002,21,PUEBLA,001,ACAJETE,0010,02,C,00,1,2,245,392,1,393,51,22,23,25,15,22,5,9,16,186,3,4,3,0,2,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,7,393,393,618,1,,1,F,385204becda0f48b8fe427e752460fa822ed1d5da76be6bea88f57a7463ad395,2018-07-02 02:52:00,2018-07-02 03:02:58,2018-07-02 03:03:57,CATD,Escaner,ACTA PREP
'210010C0300,210010C030002,21,PUEBLA,001,ACAJETE,0010,03,C,00,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,618,,Sin Acta,0,,,,,,,,
'210011B0100,210011B010002,21,PUEBLA,001,ACAJETE,0011,01,B,00,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,735,,Sin Acta,0,,,,,,,,
'210011C0100,210011C010002,21,PUEBLA,001,ACAJETE,0011,01,C,00,1,2,261,493,0,479,72,33,23,14,7,28,3,14,13,239,6,5,2,0,1,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,0,16,493,479,734,0,,1,F,40bfe5168a7df05b803d2f6294267ddfc3660afb76af431a84ce97e11b32aaca,2018-07-02 02:37:00,2018-07-02 02:57:02,2018-07-02 02:59:02,CATD,Escaner,ACTA PREP
'210011C0200,210011C020002,21,PUEBLA,001,ACAJETE,0011,02,C,00,1,2,247,501,2,518,83,28,31,18,17,29,3,15,12,250,2,9,3,0,3,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,0,14,503,518,734,2,,1,F,c1ec870507f50c20cfafedd52e921f33a58339b7197204153cb20cd92b3c3d7c,2018-07-02 02:35:00,2018-07-02 03:02:16,2018-07-02 03:03:11,CATD,Escaner,ACTA PREP
'210012B0100,210012B010002,21,PUEBLA,001,ACAJETE,0012,01,B,00,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,539,,Sin Acta,0,,,,,,,,
'210012C0100,210012C010002,21,PUEBLA,001,ACAJETE,0012,01,C,00,1,2,218,342,0,,50,17,12,11,8,2,6,4,13,165,6,5,4,0,3,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,17,342,323,539,0,,1,F,140ccf3ae1644682571d3d5d4cb38e06034d453974d5e8acbb02e8b8fd074fa3,2018-07-02 06:04:00,2018-07-02 06:22:49,2018-07-02 06:26:18,CATD,Escaner,ACTA PREP
'210012C0200,210012C020002,21,PUEBLA,001,ACAJETE,0012,02,C,00,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,539,,Sin Acta,0,,,,,,,,
'210013B0100,210013B010002,21,PUEBLA,001,ACAJETE,0013,01,B,00,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,694,,Sin Acta,0,,,,,,,,
'210013C0100,210013C010002,21,PUEBLA,001,ACAJETE,0013,01,C,00,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,693,,Sin Acta,0,,,,,,,,
'210014B0100,210014B010002,21,PUEBLA,001,ACAJETE,0014,01,B,00,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594,,Sin Acta,0,,,,,,,,
'210014C0100,210014C010002,21,PUEBLA,001,ACAJETE,0014,01,C,00,1,2,235,379,0,379,52,24,8,14,10,8,5,4,57,163,4,3,3,0,1,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,0,12,379,371,593,0,,1,F,be1b55d996be108c544a07713c5e14bf03a9ba3748b2002cd03690b0ed43fdb4,2018-07-02 04:13:00,2018-07-02 04:20:26,2018-07-02 04:21:56,CATD,Escaner,ACTA PREP
'210014C0200,210014C020002,21,PUEBLA,001,ACAJETE,0014,02,C,00,1,2,243,364,5,369,44,21,8,15,14,13,6,9,22,176,3,12,3,1,4,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,0,11,369,369,593,5,,1,F,6bce8e006a7e8d9279fd7556c5064b95c6f2af3c9bdfbab7a05773d9db635d3a,2018-07-02 04:20:00,2018-07-02 04:25:54,2018-07-02 04:26:45,CATD,Escaner,ACTA PREP
'210015B0100,210015B010002,21,PUEBLA,001,ACAJETE,0015,01,B,00,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,577,,Sin Acta,0,,,,,,,,
'210015C0100,210015C010002,21,PUEBLA,001,ACAJETE,0015,01,C,00,1,2,239,355,2,357,58,11,18,23,5,10,2,7,30,166,1,9,3,0,0,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,1,9,357,356,577,2,,1,F,4e2c33febc3fb896772d16c6435097be789a706e86b8afefe8a95f58171f3a46,2018-07-02 04:19:00,2018-07-02 04:32:13,2018-07-02 04:34:34,CATD,Escaner,ACTA PREP
'210015C0200,210015C020002,21,PUEBLA,001,ACAJETE,0015,02,C,00,1,2,250,339,8,342,48,7,14,17,3,9,3,10,20,179,5,15,1,0,2,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,0,10,347,345,577,8,,1,F,6e39cccc33fd53b7c143af55e67f12677fd2646dccae7567f95d06a3b50769dd,2018-07-02 04:27:00,2018-07-02 04:44:54,2018-07-02 04:47:44,CATD,Escaner,ACTA PREP
'210015E0100,210015E010002,21,PUEBLA,001,ACAJETE,0015,01,E,00,1,2,278,410,3,,48,20,14,9,14,45,3,27,22,155,7,11,4,1,6,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,0,24,413,415,672,3,,1,F,48d9293afed74ed168af56f6e58b339c77f6fd23d5eb70b54552c32c8e397c05,2018-07-02 07:14:00,2018-07-02 07:19:31,2018-07-02 07:20:13,CATD,Escaner,ACTA PREP
'210015E0101,210015E010102,21,PUEBLA,001,ACAJETE,0015,01,E,01,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,672,,Sin Acta,0,,,,,,,,
'210015E0102,210015E010202,21,PUEBLA,001,ACAJETE,0015,01,E,02,1,2,269,412,0,412,50,21,12,22,10,46,5,36,23,131,8,10,2,4,0,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,0,26,412,412,671,0,,1,F,19489bf9fc0ee4783b0c9000a4a63e81d4dbc363aec27f6f77c578642dfd49e6,2018-07-02 07:25:00,2018-07-02 07:32:25,2018-07-02 07:33:50,CATD,Escaner,ACTA PREP
'210016B0100,210016B010002,21,PUEBLA,001,ACAJETE,0016,01,B,00,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,743,,Sin Acta,0,,,,,,,,
'210016C0100,210016C010002,21,PUEBLA,001,ACAJETE,0016,01,C,00,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,742,,Sin Acta,0,,,,,,,,
'210016C0200,210016C020002,21,PUEBLA,001,ACAJETE,0016,02,C,00,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,742,,Sin Acta,0,,,,,,,,
'210017B0100,210017B010002,21,PUEBLA,001,ACAJETE,0017,01,B,00,1,2,0,0,0,0,93,23,24,21,3,4,3,6,12,122,7,10,0,0,2,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,0,28,0,364,658,0,,1,F,6f485914e398e4eee7cd32b49332bab39788c9d6d399f48645a254e1fb573a67,2018-07-02 09:49:00,2018-07-02 10:02:24,2018-07-02 10:06:44,CATD,Escaner,ACTA PREP
'210017C0100,210017C010002,21,PUEBLA,001,ACAJETE,0017,01,C,00,1,2,317,357,4,358,92,13,34,27,4,7,1,8,9,117,2,7,3,5,0,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,0,0,361,333,658,4,,1,F,1901b90b5d2118812d91c4e86d9bbaffc4fdccd33dd1a710df3a7b3bd67bd248,2018-07-02 03:00:00,2018-07-02 03:16:27,2018-07-02 03:19:19,CATD,Escaner,ACTA PREP
'210017C0200,210017C020002,21,PUEBLA,001,ACAJETE,0017,02,C,00,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,658,,Sin Acta,0,,,,,,,,
'210017C0300,210017C030002,21,PUEBLA,001,ACAJETE,0017,03,C,00,1,2,315,360,3,358,84,17,27,18,3,8,2,10,11,148,3,6,3,1,0,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,0,11,363,358,658,3,,1,F,8a5ca8b1b1f95437a14f13bf801fd81b35feaccb202987888625af9121e0dc8c,2018-07-02 09:49:00,2018-07-02 10:01:10,2018-07-02 10:01:51,CATD,Escaner,ACTA PREP
'210018B0100,210018B010002,21,PUEBLA,001,ACAJETE,0018,01,B,00,1,2,234,350,1,351,33,36,9,19,3,11,4,10,13,184,3,4,5,0,4,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,0,12,351,351,565,1,,1,F,824419ba829a205f1ab6b5a1bade3ee6645be70b430efd11dbaafa3e75b7e47a,2018-07-02 05:27:00,2018-07-02 05:34:21,2018-07-02 05:38:38,CATD,Escaner,ACTA PREP
'210018C0100,210018C010002,21,PUEBLA,001,ACAJETE,0018,01,C,00,1,2,234,348,3,351,30,28,16,25,3,10,3,6,6,172,6,15,4,2,2,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,23,351,351,565,3,,1,F,de3b91e44119a83863ffb78116fe1d6db5fe4fa679436ab0980a25e1f2aa08ea,2018-07-02 05:34:00,2018-07-02 05:40:50,2018-07-02 05:44:38,CATD,Escaner,ACTA PREP
'210018C0200,210018C020002,21,PUEBLA,001,ACAJETE,0018,02,C,00,1,2,242,334,8,342,24,27,7,25,3,14,6,5,8,174,8,8,2,1,3,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,0,24,342,342,564,8,,1,F,ecc49f6045a326bfef6085fd94e69be183f38719e5dea486c3e95e60145658c8,2018-07-02 05:33:00,2018-07-02 05:47:00,2018-07-02 05:51:47,CATD,Escaner,ACTA PREP
'210018C0300,210018C030002,21,PUEBLA,001,ACAJETE,0018,03,C,00,1,2,0,0,0,0,24,31,8,23,2,16,1,5,5,161,10,10,3,0,5,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,1,15,0,322,564,0,,1,F,3f26d3de582ed105acc2467da4972a1fd8f7cf381231d0c097dbed0018bdba8f,2018-07-02 05:46:00,2018-07-02 05:55:36,2018-07-02 05:58:06,CATD,Escaner,ACTA PREP
'210019B0100,210019B010002,21,PUEBLA,001,ACAJETE,0019,01,B,00,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,701,,Sin Acta,0,,,,,,,,
